"","PX_OPEN","PX_HIGH","PX_LOW","PX_CLOSE","TRD_QTY"
"2015-01-01",8272.8,8294.7,8248.75,8284,NA
"2015-01-02",8288.7,8410.6,8288.7,8395.45,101887024
"2015-01-05",8407.95,8445.6,8363.9,8378.4,118160545
"2015-01-06",8325.3,8327.85,8111.35,8127.35,172799618
"2015-01-07",8118.65,8151.2,8065.45,8102.1,164075424
"2015-01-08",8191.4,8243.5,8167.3,8234.6,143802802
"2015-01-09",8285.45,8303.3,8190.8,8284.5,152612528
"2015-01-12",8291.35,8332.6,8245.6,8323,103153908
"2015-01-13",8346.15,8356.65,8267.9,8299.4,129561892
"2015-01-14",8307.25,8326.45,8236.65,8277.55,150621631
"2015-01-15",8424.5,8527.1,8380.55,8494.15,232138802
"2015-01-16",8504.05,8530.75,8452.25,8513.8,181365905
"2015-01-19",8550.05,8570.95,8531.5,8550.7,129346422
"2015-01-20",8575.1,8707.9,8574.5,8695.6,158713840
"2015-01-21",8719.65,8741.85,8689.6,8729.5,191651012
"2015-01-22",8745.85,8774.15,8727,8761.4,180912372
"2015-01-23",8827.95,8866.4,8795.4,8835.6,197124706
"2015-01-27",8871.35,8925.05,8825.45,8910.5,192010521
"2015-01-28",8902.75,8985.05,8874.05,8914.3,190805926
"2015-01-29",8901.5,8966.65,8861.25,8952.35,264245843
"2015-01-30",8996.6,8996.6,8775.1,8808.9,275587957
"2015-02-02",8802.5,8840.8,8751.1,8797.4,216556534
"2015-02-03",8823.15,8837.3,8726.65,8756.55,208672175
"2015-02-04",8789.15,8792.85,8704.4,8723.7,201252375
"2015-02-05",8733.1,8838.45,8683.65,8711.7,179008853
"2015-02-06",8696.85,8726.2,8645.55,8661.05,176554075
"2015-02-09",8584.4,8605.55,8516.35,8526.35,151329604
"2015-02-10",8478.1,8646.25,8470.5,8565.55,202294693
"2015-02-11",8603.3,8651.95,8593.65,8627.4,166560867
"2015-02-12",8676.95,8732.55,8599.25,8711.55,163681352
"2015-02-13",8741.5,8822.1,8729.65,8805.5,228807812
"2015-02-16",8831.4,8870.1,8793.4,8809.35,140637331
"2015-02-18",8811.55,8894.3,8808.9,8869.1,152152801
"2015-02-19",8883.05,8913.45,8794.45,8895.3,219867400
"2015-02-20",8895.5,8899.95,8816.3,8833.6,203714864
"2015-02-23",8856.85,8869,8736.1,8754.95,143932325
"2015-02-24",8772.9,8800.5,8726.75,8762.1,154368611
"2015-02-25",8801.9,8840.65,8751.4,8767.25,139406599
"2015-02-26",8779,8786.05,8669.45,8683.85,224185492
"2015-02-27",8729.5,8856.95,8717.45,8844.6,257226273

"2015-02-28",8913.05,8941.1,8751.35,8901.85,246453954
"2015-03-02",8953.85,8972.35,8885.45,8956.75,224772586
"2015-03-03",8962.85,9008.4,8925.55,8996.25,183251960
"2015-03-04",9109.15,9119.2,8893.95,8922.65,256060375
"2015-03-05",8929.4,8957.55,8849.35,8937.75,165081476
"2015-03-09",8891.15,8891.3,8740.45,8756.75,160332840
"2015-03-10",8769.75,8778,8677.35,8712.05,168916337
"2015-03-11",8728.75,8755.6,8682.35,8699.95,178053293
"2015-03-12",8740.65,8787.2,8732.9,8776,179337979
"2015-03-13",8844.05,8849.75,8631.75,8647.75,184665971
"2015-03-16",8656.75,8663.55,8612,8633.15,168438040
"2015-03-17",8689.1,8742.55,8630.8,8723.3,182504639
"2015-03-18",8742.9,8747.25,8664,8685.9,161153533
"2015-03-19",8749.45,8788.2,8614.65,8634.65,168628424
"2015-03-20",8627.9,8627.9,8553,8570.9,179982752
"2015-03-23",8591.55,8608.35,8540.55,8550.9,155425780
"2015-03-24",8537.05,8627.75,8535.85,8542.95,161465466
"2015-03-25",8568.9,8573.75,8516.55,8530.8,165952155
"2015-03-26",8474.95,8499.45,8325.35,8342.15,288758332
"2015-03-27",8396,8413.2,8269.15,8341.4,198979321
"2015-03-30",8390.95,8504.55,8380.75,8492.3,142061290
"2015-03-31",8527.6,8550.45,8454.15,8491,177059509
